id,artist_id,album_title,genre,year_of_pub,num_of_tracks,num_of_sales,rolling_stone_critic,mtv_critic,music_maniac_critic
105,16009,Human MINI Microwave FAW,Indie,2004,2,488877,0.5,2.5,1.5
106,3278,That's My Ultra-Maximus Lamb,Black Metal,2011,3,162022,1.0,2.0,3.0
107,17456,Goblin Arise From Italy,Rap,2007,15,194938,3.5,2.0,4.5
108,29025,Medical Israel Don't Forget the So Sad or So Mad Detailed,Pop,2015,10,679913,1.0,0.5,1.5
109,12290,Sword My Spread Asleep Under the,Trap,2013,3,176860,4.5,5.0,5.0
110,43132,Forget It,Country,2003,4,241502,1.0,3.5,2.5
111,16312,Inside the Riding,Hard Rock,2011,3,305868,5.0,4.5,4.5
112,5065,Falling Tamil Available Mindless,Jazz,2001,3,813387,4.0,4.5,3.5
113,18705,Believe Tiny So Sad or So Mad Minangkabau Annoying,Dance,2000,10,139331,3.0,3.5,2.5
114,5189,Soups In the Sky Sorry,Black Metal,2005,2,22391,4.0,4.5,2.0
115,23306,Cat State of Tiny Urdu,Rock,2015,12,259552,5.0,0.5,4.0
116,33874,Legs Gentle Odd,Blues,2008,12,55627,5.0,1.5,1.5
117,18419,Agent Miami Dream,K-Pop,2012,15,759480,0.5,1.0,5.0
118,41858,Reporter,Rap,2004,14,950221,0.5,4.5,2.5
119,31337,Flower Discovery Desperate Kicking your,Dance,2005,3,110578,1.0,5.0,0.5
120,3452,Just for Killer Lahnda,Brit-Pop,2003,3,962747,5.0,2.0,0.5
121,23960,Medical Sonographer Just for,Latino,2015,15,184751,3.5,1.0,1.5
122,976,Catch me,Black Metal,2011,4,315591,1.0,4.0,2.5
123,34821,Come,Pop,2011,8,225950,3.5,1.0,3.0
124,12845,Benito Sick Brown Better Off Mind,Rap,2003,2,938179,2.0,3.5,2.5
125,25910,Elegant As Arm Expelli Armus Daihatsu,Punk,2011,2,203325,2.5,0.5,3.0
126,3632,Gazelle Shock,Deep House,2013,9,752129,5.0,0.5,1.5
127,24119,Candy Elisa My Love,Dance,2010,13,791036,4.0,4.5,3.0
128,1700,Alive Matteo Truck Fireman Computer Systems,Indietronica,2013,9,920245,2.0,3.0,1.5
129,25047,Administrative Better have Majestic Search,Western,2014,6,123504,1.5,1.0,4.5
130,3890,Candy Elisa My Love,Dance,2015,5,506667,1.0,1.5,4.5
131,49012,Obvious The Baddest Female,Latino,2003,9,816453,5.0,1.0,4.0
132,49068,Lover Barbie Of Rock,Rock,2014,6,638801,0.5,1.5,3.5
133,35870,Bonjour Damoiselle Belle,Lounge,2001,14,424598,4.5,2.5,4.0
134,42800,Environmental My Life,Black Metal,2003,7,552438,5.0,5.0,4.0
135,34137,Sufficient Please,Boy Band,2010,2,230264,3.5,5.0,2.0
136,22146,Face Goblin Belligerent,Indie,2016,14,719253,2.5,2.0,1.0
137,33604,Afraid Cute New Face,Pop,2007,5,769089,1.5,4.0,2.5
138,16273,Make it,Indietronica,2013,12,347163,2.5,1.5,5.0
139,26857,Preschool Teacher,Dance,2011,11,117350,1.0,4.0,0.5
140,15845,Come On Is as,Compilation,2011,4,12676,2.0,5.0,1.5
141,41503,Afraid Lucky Minnie Moon M.E.N.T.A.L Miss Johnson,Rock,2008,15,458768,5.0,1.5,3.5
142,11597,China Incredible Lose Control Story of DJ Mix,Parody,2016,5,295961,5.0,5.0,2.5
143,11752,Squirrel,Punk,2017,12,763926,3.5,1.0,4.5
144,46391,Luxembourg Believe The Blue Call me Able Jamila,Latino,2016,7,169604,1.5,4.5,3.5
145,36241,House RULEZ,Deep House,2010,15,8062,1.0,2.0,4.0
146,36472,Rare Sister Of Thunder Falling in Love with,Rap,2014,9,83317,2.5,1.0,3.0
147,6588,Heart Shame Inside My Brash,Rock,2017,12,217759,4.5,1.5,2.0
148,22974,Crying for the,Latino,2005,12,745672,0.5,2.0,4.5
149,30876,Of Ampelmann,Metal,2006,15,833462,2.0,4.5,4.5
150,15660,TOP In The Sky Of Death,K-Pop,2010,9,888188,2.5,3.5,1.0
151,21709,Marigold The Manigold Hear Enemy Uzbek Dramatic,Rock,2015,7,853954,3.5,3.5,3.0
152,7778,No Human Significant Mouse,Indie,2012,12,916823,3.5,5.0,3.0
153,31346,Go! Loves Turkmenistan Of Lonely,Latino,2014,13,790198,1.0,5.0,4.5
154,2855,Hands,Holy Metal,2018,9,219875,0.5,0.5,4.0
155,21566,The Story of Lamacorno,Brit-Pop,2003,11,598301,1.5,0.5,3.0
156,14284,Logical Morocco,Metal,2011,11,771703,2.5,2.5,3.5
157,30677,Week Hungry Developer Wipe Show,Dance,2015,14,114436,2.5,2.5,4.5
158,47561,Plate Believe Island,Gospel,2014,4,937404,5.0,5.0,3.0
159,6960,Gan,Indie,2013,8,208582,4.5,5.0,3.0
160,2594,Darkness of Upset Entertaining Playing,Rap,2013,9,241385,0.5,0.5,1.5
161,21015,Fireman Global,Dance,2000,8,153738,3.5,5.0,0.5
162,29020,TOP In The Sky Of Death,K-Pop,2009,11,888039,1.0,4.5,5.0
163,42602,In the Sky Eat Drink and Be Merry Najdi Sheep History,Rock,2004,8,603482,3.0,0.5,5.0
164,37268,Rare,Indie,2013,8,956757,3.0,3.5,5.0
165,30054,China,Lounge,2004,4,660175,3.5,4.5,3.5
166,35353,God Save Algeria Estar,Western,2014,3,17005,4.0,2.5,5.0
167,9876,First Yesterday To Pure Indian,Punk,2011,9,292083,2.0,0.5,0.5
168,22174,Kenworth Georgian,Brit-Pop,2008,15,401724,3.5,1.0,2.0
169,15242,Smart No Human Robbers,Deep House,2006,12,296804,0.5,1.0,1.0
170,42106,Persian Chapter book Strong,Ambient,2006,6,118119,2.5,5.0,0.5
171,1398,Human MINI Microwave FAW,Indie,2011,5,652757,5.0,0.5,2.0
172,29084,Human MINI Microwave FAW,Indie,2013,9,174143,5.0,5.0,2.0
173,20465,Sister Unfair Interesting Italy,Metal,2007,2,14304,2.0,3.0,4.0
174,43705,Economist Porsche Small Impossible Strict,Jazz,2007,9,696349,3.5,3.5,2.0
175,1391,Needy Chichen Mitsubishi,Jazz,2011,11,724676,1.5,1.5,1.0
176,39638,Magic Alligator Aboriginal Headless Chicken,Indie,2019,15,91141,1.0,4.5,4.0
177,42894,Down Uzbek,Blues,2015,13,800277,1.0,1.5,3.0
178,35218,Obvious Complete Don't You,Pop,2004,8,620110,1.5,2.5,2.5
179,34318,First Yesterday To Pure Indian,Punk,2011,5,956570,4.5,1.0,3.0
180,31823,Icelandic,Indie,2014,9,226641,3.5,0.5,4.0
181,47336,Of Pregnant Computer Hardware Let's Go,Death Metal,2004,6,522991,2.0,2.5,1.0
182,12823,Strict Unhappy,Ambient,2010,2,396502,2.5,2.5,5.0
183,30661,Enemy Geese Geese Like Spaghetti,Heavy Metal,2012,13,589461,4.0,1.5,4.0
184,27641,Huge Referee,Gospel,2009,10,789804,3.0,0.5,3.5
185,12696,Lover Barbie Of Rock,Rock,2013,4,259981,0.5,5.0,4.0
186,22131,Detailed Recent,Rap,2006,13,199805,4.0,1.0,4.0
187,46950,First Yesterday To Pure Indian,Punk,2015,10,425415,5.0,0.5,3.5
188,28142,More Pakistan Fall Electrical,Indie,2006,10,961859,2.5,2.0,3.0
189,36617,Stereotyped Mathematician,Pop,2011,9,488769,1.0,4.5,4.0
190,9130,Aboriginal Bird Actual,Rap,2012,4,930534,3.5,1.5,4.0
191,15017,Stereotyped,Blues,2009,8,831282,5.0,4.5,5.0
192,25844,Hyundai,Compilation,2012,8,815974,5.0,3.5,3.0
193,44213,Hungry Loves Incredible,Death Metal,2008,14,530091,3.0,4.5,2.5
194,23310,Zinc Son Georgian Next to,Indie,2017,11,347168,3.0,1.0,3.5
195,41943,Out Would You Like To Be,Pop,2012,6,701101,4.0,4.0,2.0
196,36657,Huge Elk Magic MINI,Rap,2016,4,808069,1.0,0.5,1.5
197,33600,Electrical Darkness,Latino,2011,11,578975,5.0,5.0,4.5
198,49602,Human MINI Microwave FAW,Indie,2005,4,176671,2.5,3.5,1.0
199,17470,Pharmacist Final Form,Gospel,2017,8,714723,3.0,2.0,3.0
200,25008,Of Love Butter Suspend Agent Catadiottro,Live,2004,8,164753,1.0,0.5,5.0
201,15457,Soups,Indie,2012,10,20830,4.5,4.5,0.5
202,615,Relevant Incredible Competitive,Blues,2019,10,273165,2.0,3.0,1.5
203,29494,Enemy Explain,Techno,2007,15,663275,1.0,2.5,4.0
204,33358,Xiang Javanese,Latino,2009,14,168029,4.0,4.0,4.5
205,37424,Saudi Country Minnie Moon For Us,Compilation,2018,8,919563,1.0,2.0,0.5
206,40223,Try Cadillac,Pop,2017,4,604311,5.0,0.5,4.5
207,45181,Human MINI Microwave FAW,Indie,2002,14,685264,1.0,0.5,0.5
208,37637,Severe Popular,Rap,2007,13,787583,4.5,2.5,0.5
209,49013,I'll Secretary,Brit-Pop,2017,5,742257,4.0,3.0,2.5
210,48034,Geese Clam I'm Curious,Rap,2012,2,530257,3.5,4.0,0.5
211,42704,Candy Elisa My Love,Dance,2010,15,866858,1.0,1.5,5.0
212,691,High Informal The Of,Death Metal,2000,3,251169,2.0,1.5,1.5
213,43378,Garden Car Plate Stews,Dance,2010,8,582318,2.5,3.5,3.0
214,21876,Several Strong Forget It Impossible China,Trap,2013,12,50587,5.0,0.5,2.0
215,3032,Lonely Are You My Inner Tiger Visible,Unplugged,2016,9,929753,4.5,2.5,2.0
216,3167,Different Asleep,Live,2012,10,424901,1.0,2.5,5.0
217,6053,Below the,Rock,2009,13,92427,0.5,1.0,3.0
218,9196,About cuddly Jewel Kia Hills,Latino,2010,7,578199,1.0,3.0,0.5
219,3068,You Ugly Balance Rare,Heavy Metal,2016,6,602459,0.5,1.0,2.5
220,47153,Bosnian,Hard Rock,2011,10,445445,4.5,3.5,1.0
221,7795,Escuchame Rupert,Rock,2010,15,677239,4.0,2.5,3.0
222,31286,Sword Of Love Unhappy The Blue Peugeot,Western,2012,6,657697,5.0,0.5,4.0
223,24128,Arabic Goblin Under Excalibur,Holy Metal,2015,4,636774,4.0,5.0,3.5
224,35386,Morgan The Queen Honda,Indie,2013,8,487965,0.5,5.0,1.0
225,45603,And Secretive Eastern Trick,Heavy Metal,2019,4,898239,1.0,1.0,5.0
226,45829,Indonesia,Rap,2009,13,992900,3.0,3.0,4.0
227,35297,Assistant Not my The Long And Winding Road I Wanna be In,Parody,2010,3,837071,2.0,2.5,2.5
228,37562,Trick Kicking your Cause Of Love Electronic,Pop,2013,6,656427,3.5,0.5,5.0
229,42537,Talented,Compilation,2001,4,67631,4.0,1.5,2.5
230,31067,Shame Sorry Respiratory Therapist Califiornia,Unplugged,2003,11,625171,1.0,1.0,3.0
231,42695,Dodge Price Support Escuchame In the Sky,Pop,2018,8,405239,0.5,4.0,2.0
232,42866,Lawyer Dragon,Techno,2011,15,449727,3.5,1.0,4.5
233,5182,Klingon Obvious Topolino Tutti i Frutti,Latino,2005,13,888529,2.0,4.0,3.0
234,16888,Pure,Indie,2011,10,490527,5.0,0.5,3.5
235,35918,Rare,Rap,2018,6,799291,4.5,4.0,0.5
236,16666,Pencil Yellow Huge Goblin,Heavy Metal,2002,15,809548,3.0,5.0,4.5
237,45569,Beautiful People Soprattutto Island Economist Psychological,Pop,2006,10,749758,2.5,3.0,3.5
238,662,Skoda,Rock,2015,8,489999,1.0,3.0,2.5
239,12448,Malaysia,Techno,2006,7,11114,2.5,4.5,5.0
240,41759,Needy Tiger,Pop,2006,12,341694,4.5,4.5,2.0
241,5269,Geese,Hard Rock,2003,15,823977,4.0,4.5,4.0
242,49573,Truck Northern Hindko known Remake And,Retro,2012,7,515669,0.5,3.5,1.0
243,21909,Geese Practical Alpaca I Gotta Feeling,Blues,2007,6,918134,3.0,3.5,1.0
244,30597,Isuzu Shame Uzbekistan,Ambient,2013,5,508199,1.5,2.0,3.0
245,9745,Bulgarian Indonesia Psychologist My Asset,Indie,2000,5,228281,2.0,0.5,5.0
246,22711,Eastern Thunder Lizard,Rock,2000,12,526000,4.5,3.0,1.5
247,46425,Audi,Folk,2013,4,405430,2.5,5.0,4.5
248,11234,Beyond Brawny Miss,Pop,2014,13,989312,1.5,2.5,3.5
249,13902,Darkness Deafening Pakistan Inner I used to,Techno,2002,12,575549,5.0,3.0,3.0
250,31727,First Yesterday To Pure Indian,Punk,2018,12,964533,1.0,1.5,4.5
251,12574,Arabic,Dance,2008,4,788259,3.5,2.5,4.0
252,26407,Unfair Big They Were,Heavy Metal,2003,7,453755,1.5,3.5,5.0
253,20169,Guitar Shame That's my United,Pop,2002,7,493873,2.5,4.0,4.0
254,10879,Bulgaria Obvious Star Interesting Middle School Teacher,Techno,2017,7,519075,3.0,2.0,3.5
255,211,You Ugly Sunshine You are My,J-Rock,2005,11,960145,1.0,2.5,5.0
256,23811,New Face Intelligent,Boy Band,2017,2,79363,4.0,5.0,2.5
257,32391,Curious OCamel Mare,Indie,2005,7,241522,3.0,5.0,3.0
258,25209,Invention Colouring Throw Me,Metal,2012,5,136727,1.0,4.5,4.0
259,11770,I Really Want Veterinarian Medalion,Punk,2014,4,670213,1.0,1.0,0.5
260,3141,Upset Alleged Past Tiny,Progressive,2004,11,674248,4.0,3.0,3.0
261,32930,Unhappy A Wild Magyar Hungarian Overflow Next to,Pop,2004,6,350852,4.5,4.0,2.0
262,11913,Legs,Trap,2015,5,952784,5.0,0.5,3.0
263,48301,Word Georgian Stick Words Impossible,Country,2001,2,500046,4.5,4.5,2.0
264,23237,Beer Darkness of Epidemiologist,Indie,2009,10,956621,0.5,1.5,3.5
265,28740,Sexual Shame,Hard Rock,2009,6,399459,2.5,2.0,1.0
266,44877,Psychological Goodbye my Old Moves Made in,Holy Metal,2014,13,389590,1.0,5.0,4.0
267,43359,Candy Elisa My Love,Dance,2013,13,560302,5.0,5.0,3.5
268,21407,Behind The Real Neesan,J-Rock,2016,15,68780,3.5,2.5,4.5
269,11262,California Adventure of the DJ Mix,Metal,2013,7,339607,4.5,5.0,1.5
270,2674,Obviously Sick Charming In Your Eyes,Boy Band,2000,12,529409,3.0,5.0,4.0
271,10091,Of Destiny Young Signorino OCamel Recent Tree,Death Metal,2009,2,35034,2.0,3.0,3.5
272,5988,Amore Dolor,Latino,2007,10,799176,3.0,1.5,2.5
273,16121,Bonjour Damoiselle Belle,Lounge,2009,3,693322,1.5,4.0,1.0
274,2993,Hear Eat Drink and Be Merry Medalion Immediate,Indie,2011,14,35509,3.5,0.5,3.0
275,26815,Immediate Needy Arabic In the Sky Dreamed,Indietronica,2007,12,525270,5.0,4.5,4.0
276,8431,Amore Dolor,Latino,2003,4,84426,4.5,5.0,4.5
277,15339,Hey Jason Pencil Immediate,Indie,2002,13,641473,1.0,2.5,3.5
278,37729,Adjoining Jeep Reforge,Pop-Rock,2002,11,170647,0.5,1.0,5.0
279,5734,Sorry,Progressive,2017,13,488649,5.0,4.0,1.0
280,9461,Legal Anxious My Fluffy Full of,Dance,2000,5,814476,4.0,5.0,4.0
281,32240,Bat Persian Good More Shield,Brit-Pop,2006,4,128918,4.5,4.5,0.5
282,19453,I'm Chocolate,Boy Band,2001,3,413276,1.0,4.5,3.5
283,35779,Bonjour Damoiselle Belle,Lounge,2003,7,946328,4.0,5.0,2.0
284,26838,Secretive Acura Hyundai Sadness,Dance,2008,7,841979,2.0,3.5,4.5
285,19596,Lover Barbie Of Rock,Rock,2005,12,556402,2.0,1.0,3.0
286,3800,Penniless Italy,Electro-Pop,2003,10,564293,2.0,4.5,3.5
287,18457,I'm On Instagram Puma,Pop-Rock,2008,14,227562,3.5,0.5,5.0
288,1643,Make it,Electro-Pop,2014,5,584431,3.5,3.5,2.0
289,681,Of Love Central Gonna Dark,Punk,2003,9,443669,4.0,3.5,3.0
290,22993,California Nervous Majestic Mobile,Dance,2007,14,277538,5.0,3.5,1.0
291,30526,Alleged Small Sadness,K-Pop,2018,8,711566,4.5,2.5,3.5
292,6954,I'm On Instagram Puma,Pop-Rock,2005,14,951861,3.0,5.0,1.5
293,2918,Healthy Son Come Wonderful,Western,2014,9,717231,1.0,1.0,1.0
294,19780,Substantial,Dance,2001,2,603048,3.0,1.5,1.5
295,17511,Italian Humans Ultra-Maximus Maria,Progressive,2012,13,863066,1.0,2.0,2.0
296,37152,Finnish Seafood Rhinoceros Crying for the,Live,2009,11,504534,1.0,1.0,3.0
297,9867,Price,Jazz,2016,6,22307,2.5,3.0,1.5
298,12406,Territory Recent Desserts Elephant,Hard Rock,2000,12,365012,5.0,4.0,1.5
299,23563,That's my Eastern,Unplugged,2010,9,370156,2.5,3.0,1.0
300,19601,Hyundai Chip,Indie,2013,7,849723,4.0,1.5,0.5
301,26394,Matteo Go! Persian Suzuki Reloaded,Alternative,2017,8,41309,4.0,1.0,2.5
302,17418,You are My I'm Xiang Impressive,Parody,2000,2,264417,1.0,1.0,2.0
303,30584,That's My Ultra-Maximus Lamb,Black Metal,2012,13,208634,5.0,5.0,4.0
304,25902,Bandicoot Mister Algeria,Brit-Pop,2001,9,106561,2.0,2.0,4.5
305,16754,My Life Indonesia Drived,Gospel,2001,13,705421,2.0,1.5,3.5
306,36496,Need Arrange Respiratory Therapist Skoda,Pop,2003,12,46729,1.5,1.5,4.5
307,4883,Intelligent Construction Lawyer Of Lover,Folk,2003,3,411118,5.0,4.5,0.5
308,36635,Respiratory Therapist Aggressive Red Arrange,Rap,2019,13,554439,3.0,3.0,3.5
309,16511,Discovery Drived Arabic Counselor Squirrel,Brit-Pop,2012,5,459824,2.5,5.0,3.5
310,12718,Distinct DJ Mix Terrible Forgive In the Sky,Pop-Rock,2014,4,969515,1.0,2.5,4.5
311,8106,Verdura in Da Jeans,Parody,2002,8,680387,3.0,1.5,3.5
312,42034,Miss Of Love Serious About,Latino,2006,14,363532,2.5,2.0,4.0
313,12232,Public Relations Specialist Sound,Rock,2003,12,622602,3.5,5.0,4.5
314,32754,Coati Mad,Holy Metal,2011,2,112711,5.0,4.0,2.0
315,11945,Fear Lover At Home Boy,Jazz,2009,6,492491,2.5,5.0,0.5
316,23215,Fear Robbers,Ambient,2015,4,163060,4.5,1.5,4.0
317,41220,Human MINI Microwave FAW,Indie,2014,12,338163,4.0,3.0,1.0
318,19827,United Visible Swedish Electrical,Rock,2011,8,455515,2.5,3.5,5.0
319,43767,Former Dongfeng You're Gonna Direful Pakistan,J-Rock,2009,10,268190,0.5,2.0,0.5
320,25070,Down into the Entire I used to Moccasin,J-Rock,2015,10,643698,1.5,4.5,4.5
321,31156,Word Hysterical Administrator Traditional,Indie,2015,10,669410,3.0,4.0,4.5
322,6045,kill Belligerent Nepal My Kenworth,Compilation,2017,6,669529,1.0,2.5,1.0
323,44115,Human MINI Microwave FAW,Indie,2017,11,830502,1.0,1.0,3.0
324,16076,The Long And Winding Road Woodchuck Of Love,Pop-Rock,2006,5,354857,4.0,1.5,0.5
325,13778,The Baddest Female Algeria Loves Bertie-Face,Parody,2003,15,698525,5.0,2.5,1.0
326,7989,Vicuna Loves Lexus Syria,Live,2002,12,383991,1.5,5.0,1.5
